name,addr_street,addr_housenumber,addr_postcode,addr_city,addr_country,latitude,longitude,website_url,website_effective_url,website_http_status,website_is_valid,website_discovery_method,menu_url,menu_http_status,menu_is_valid,menu_discovery_method
Bay,Strandweg,163,2586JM,'s-Gravenhage,,52.1164779,4.2850603,,,,false,,,,false,
Speakers,,,,,,52.0845507,4.3139659,,,,false,,,,false,
't Zusje,Gevers Deynootplein,30,2586CK,'s-Gravenhage,,52.1130098,4.2817122,https://zusje.nl/onze-zusjes/kurhaus/,https://zusje.nl/onze-zusjes/kurhaus/,200,true,osm,https://zusje.nl/tapas-menu/,200,true,header
Indonesisch Restaurant Keraton Damai,Groot Hertoginnelaan,57,2517EC,'s-Gravenhage,,52.0848373,4.2817004,https://keratondamai.nl/,https://keratondamai.nl/,200,true,osm,https://keratondamai.nl/menu/,200,true,nav
Falafel en Hummus,,,,,,52.0760891,4.3098969,https://falafelenhummus.nl/,https://falafelenhummus.nl/,200,true,osm,https://falafelenhummus.nl/menu/,200,true,header
Villani,,,,,,52.0959267,4.2643679,https://www.villani.nl/,https://www.villani.nl/,200,true,osm,https://www.villani.nl/menu/,200,true,header
Brasserie Berlage,President Kennedylaan,1,2517JK,'s-Gravenhage,,52.0896191,4.2820176,https://www.gastrobar-berlage.nl/,https://www.gastrobar-berlage.nl/,200,true,osm,https://www.gastrobar-berlage.nl/gastrobar-menu/,200,true,nav
Oogst,,,,,,52.0845649,4.3130449,,,,false,,,,false,
Sophia,,,,,,52.0856915,4.3025788,,,,false,,,,false,
Le Moulin Fou,,,,,,52.0887191,4.3102464,,,,false,,,,false,
Sohbet Restaurant,,,,,,52.0593439,4.3107270,,,,false,,,,false,
LOSH,Johanna Naberweg,5,2533SE,'s-Gravenhage,,52.0565498,4.2855192,https://losh.nl/,https://losh.nl/,200,true,osm,https://losh.nl/menu/,200,true,header
Jaipur of India,Fahrenheitstraat,273,2561DV,'s-Gravenhage,,52.0724899,4.2757797,https://www.jaipurofindia-denhaag.nl/,https://www.jaipurofindia-denhaag.nl/,200,true,osm,https://www.jaipurofindia-denhaag.nl/,200,true,link_text
Chalet ten Bosch,Leidsestraatweg,45,2594BB,'s-Gravenhage,,52.0988122,4.3470406,https://chalettenbosch.nl/,https://chalettenbosch.nl/,200,true,osm,https://chalettenbosch.nl/lunch-kaart,200,true,sitemap
De Posthoorn,Lange Voorhout,39A,2514EC,'s-Gravenhage,,52.0821776,4.3132830,https://bodegadeposthoorn.nl/,https://bodegadeposthoorn.nl/,200,true,osm,https://bodegadeposthoorn.nl/,200,true,link_text
Chef Bulbol,Bleijenburg,31,2511VC,'s-Gravenhage,,52.0804765,4.3179681,https://chefbulbolrestaurant.nl/,https://chefbulbolrestaurant.nl/,200,true,osm,https://chefbulbolrestaurant.nl/menu/,200,true,header
Express-so,,,,,,52.0744938,4.3005486,https://www.haaglandenmc.nl/voorbereiden-op/ziekenhuisopname/eten-en-drinken/,https://www.haaglandenmc.nl/voorbereiden-op/ziekenhuisopname/eten-en-drinken/,200,true,osm,https://www.haaglandenmc.nl/op-bezoek/kaartje-sturen/,200,true,footer
Vigo Seafoodbar,Aert van der Goesstraat,9,2582AH,'s-Gravenhage,,52.0882634,4.2763992,https://vigoseafoodbar.nl/,https://vigoseafoodbar.nl/,200,true,osm,https://vigoseafoodbar.nl/menu/,200,true,nav
Paviljoen Malieveld,Koekamplaan,6,2594AA,'s-Gravenhage,,52.0838632,4.3186638,https://malieveld.nl/,https://malieveld.nl/,200,true,osm,https://malieveld.nl/en/our-menu/,200,true,sitemap
JM Snacks,Strandweg,3L,2586JK,'s-Gravenhage,,52.1026503,4.2652216,,,,false,,,,false,
Moeke,Strandweg,155,2586JM,'s-Gravenhage,,52.1157946,4.2842573,https://www.moeke.nl/,https://www.moeke.nl/,200,true,osm,https://www.moeke.nl/rhenen/menu,200,true,sitemap
THE WINE HOUSE,Deltapromenade,304,2554GX,'s-Gravenhage,,52.0691626,4.2217400,,,,false,,,,false,
